critere,description,applicable,methode,resultat,preuve,correction,auditeur,date
4.8,"Chaque média non temporel a-t-il, si nécessaire, une alternative (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.9,"Pour chaque média non temporel ayant une alternative, cette alternative est-elle pertinente ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.10,Chaque son déclenché automatiquement est-il contrôlable par l’utilisateur ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.11,"La consultation de chaque média temporel est-elle, si nécessaire, contrôlable par le clavier et tout dispositif de pointage ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.12,La consultation de chaque média non temporel est-elle contrôlable par le clavier et tout dispositif de pointage ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
4.13,Chaque média temporel et non temporel est-il compatible avec les technologies d’assistance (hors cas particuliers) ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun média temporel audio ou vidéo dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.1,Chaque tableau de données complexe a-t-il un résumé ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.2,"Pour chaque tableau de données complexe ayant un résumé, celui-ci est-il pertinent ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.3,"Pour chaque tableau de mise en forme, le contenu linéarisé reste-t-il compréhensible ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.4,"Pour chaque tableau de données ayant un titre, le titre est-il correctement associé au tableau de données ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.5,"Pour chaque tableau de données ayant un titre, celui-ci est-il pertinent ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.6,"Pour chaque tableau de données, chaque en-tête de colonne et chaque en-tête de ligne sont-ils correctement déclarés ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.7,"Pour chaque tableau de données, la technique appropriée permettant d’associer chaque cellule avec ses en-têtes est-elle utilisée (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
5.8,Chaque tableau de mise en forme ne doit pas utiliser d’éléments propres aux tableaux de données . Cette règle est-elle respectée ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun tableau de données HTML dans le périmètre applicatif.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
6.1,Chaque lien est-il explicite (hors cas particuliers) ?,oui,Liens contrôlés par rôles et intitulés explicites dans les scénarios axe.,CONFORME,accessibility.spec.ts ; MatchViewer.tsx,,Codex,2026-07-21
6.2,"Dans chaque page web, chaque lien a-t-il un intitulé ?",oui,Chaque lien du périmètre possède un contenu textuel ou un nom accessible.,CONFORME,rapport Playwright axe ; MatchViewer.tsx,,Codex,2026-07-21
7.1,"Chaque script est-il, si nécessaire, compatible avec les technologies d’assistance ?",oui,Critère identifié comme applicable ; preuve spécifique insuffisante pour conclure sans extrapoler.,NON DÉMONTRÉ,"Revue du code source, de l’export statique et des scénarios Playwright du 2026-07-21 ; contrôle ciblé restant requis.",,Codex,2026-07-21
7.2,"Pour chaque script ayant une alternative, cette alternative est-elle pertinente ?",oui,L’alternative DOM du radar expose les mêmes joueurs et événements que la fixture visuelle.,CONFORME,ReplayAccessibilitySummary.tsx ; accessibility.spec.ts,,Codex,2026-07-21
7.3,Chaque script est-il contrôlable par le clavier et par tout dispositif de pointage (hors cas particuliers) ?,oui,Activation clavier testée pour les commandes ; gestes libres d’annotation exclus comme saisie dépendante du tracé.,CONFORME,accessibility.spec.ts — commandes ; DrawingLayer.tsx,,Codex,2026-07-21
7.4,"Pour chaque script qui initie un changement de contexte, l’utilisateur est-il averti ou en a-t-il le contrôle ?",oui,"Les changements de page, dialogue, round et état sont déclenchés par une commande utilisateur.",CONFORME,page.tsx ; MatchViewer.tsx ; accessibility.spec.ts,,Codex,2026-07-21
7.5,"Dans chaque page web, les messages de statut sont-ils correctement restitués par les technologies d’assistance ?",oui,Critère identifié comme applicable ; preuve spécifique insuffisante pour conclure sans extrapoler.,NON DÉMONTRÉ,"Revue du code source, de l’export statique et des scénarios Playwright du 2026-07-21 ; contrôle ciblé restant requis.",,Codex,2026-07-21
8.1,Chaque page web est-elle définie par un type de document ?,oui,Inspection de l’export Next : document HTML5 avec doctype.,CONFORME,desktop/out/index.html,,Codex,2026-07-21
8.2,"Pour chaque page web, le code source généré est-il valide selon le type de document spécifié ?",oui,"Doctype HTML5, unicité des identifiants et imbrications interactives vérifiées par rendu React et axe.",CONFORME,desktop/out/index.html ; rapport axe 6/6,,Codex,2026-07-21
8.3,"Dans chaque page web, la langue par défaut est-elle présente ?",oui,Inspection de la racine HTML.,CONFORME,desktop/src/app/layout.tsx : html lang=en,,Codex,2026-07-21
8.4,"Pour chaque page web ayant une langue par défaut, le code de langue est-il pertinent ?",oui,La langue en correspond aux libellés anglais de l’interface.,CONFORME,layout.tsx ; page.tsx ; MatchViewer.tsx,,Codex,2026-07-21
8.5,Chaque page web a-t-elle un titre de page ?,oui,Métadonnée de titre présente.,CONFORME,desktop/src/app/layout.tsx,,Codex,2026-07-21
8.6,"Pour chaque page web ayant un titre de page, ce titre est-il pertinent ?",oui,Le titre RoundLab identifie l’application.,CONFORME,layout.tsx ; scénario Playwright accueil,,Codex,2026-07-21
8.7,"Dans chaque page web, chaque changement de langue est-il indiqué dans le code source (hors cas particuliers) ?",non,Inventaire du code source et du DOM exporté : Aucun changement de langue dans les contenus de l’interface.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
8.8,"Dans chaque page web, le code de langue de chaque changement de langue est-il valide et pertinent ?",non,Inventaire du code source et du DOM exporté : Aucun changement de langue dans les contenus de l’interface.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
8.9,"Dans chaque page web, les balises ne doivent pas être utilisées uniquement à des fins de présentation . Cette règle est-elle respectée ?",oui,Revue JSX et audit axe : balises sémantiques utilisées pour leur fonction.,CONFORME,desktop/src/app ; desktop/src/components ; rapport axe,,Codex,2026-07-21
8.10,"Dans chaque page web, les changements du sens de lecture sont-ils signalés ?",non,Inventaire du code source et du DOM exporté : Aucun changement du sens de lecture dans l’interface.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
9.1,"Dans chaque page web, l’information est-elle structurée par l’utilisation appropriée de titres ?",oui,Titres contrôlés par rôles sur accueil et replay.,CONFORME,accessibility.spec.ts ; page.tsx,,Codex,2026-07-21
9.2,"Dans chaque page web, la structure du document est-elle cohérente (hors cas particuliers) ?",oui,"Landmarks banner, main, nav et régions contrôlés dans les scénarios axe.",CONFORME,layout.tsx ; page.tsx ; MatchViewer.tsx,,Codex,2026-07-21
9.3,"Dans chaque page web, chaque liste est-elle correctement structurée ?",oui,Listes rendues avec ul/li ou composants sémantiques et contrôlées par axe.,CONFORME,desktop/src/components ; rapport axe,,Codex,2026-07-21
9.4,"Dans chaque page web, chaque citation est-elle correctement indiquée ?",non,Inventaire du code source et du DOM exporté : Aucune citation dans le périmètre applicatif.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
10.1,"Dans le site web, des feuilles de styles sont-elles utilisées pour contrôler la présentation de l’information ?",oui,"Présentation portée par Tailwind/CSS global et classes, sans mise en forme HTML.",CONFORME,desktop/src/app/globals.css ; composants TSX,,Codex,2026-07-21
10.2,"Dans chaque page web, le contenu visible porteur d’information reste-t-il présent lorsque les feuilles de styles sont désactivées ?",oui,Feuilles de style retirées dans Chrome ; titre et commande d’import restent présents.,CONFORME,accessibility.spec.ts — styles désactivés,,Codex,2026-07-21
10.3,"Dans chaque page web, l’information reste-t-elle compréhensible lorsque les feuilles de styles sont désactivées ?",oui,Feuilles de style retirées ; ordre DOM et intitulés essentiels restent compréhensibles.,CONFORME,accessibility.spec.ts — styles désactivés,,Codex,2026-07-21
10.4,"Dans chaque page web, le texte reste-t-il lisible lorsque la taille des caractères est augmentée jusqu’à 200 %, au moins (hors cas particuliers) ?",oui,Critère identifié comme applicable ; preuve spécifique insuffisante pour conclure sans extrapoler.,NON DÉMONTRÉ,"Revue du code source, de l’export statique et des scénarios Playwright du 2026-07-21 ; contrôle ciblé restant requis.",,Codex,2026-07-21
10.5,"Dans chaque page web, les déclarations CSS de couleurs de fond d’élément et de police sont-elles correctement utilisées ?",oui,Couleurs de texte et fond définies ensemble par les styles de thème ; audit de contraste axe vert.,CONFORME,globals.css ; rapport Playwright axe,,Codex,2026-07-21
10.6,"Dans chaque page web, chaque lien dont la nature n’est pas évidente est-il visible par rapport au texte environnant ?",oui,"Les liens sont des commandes isolées et nommées, non distinguées uniquement par la couleur.",CONFORME,MatchViewer.tsx ; rapport axe,,Codex,2026-07-21
10.7,"Dans chaque page web, pour chaque élément recevant le focus, la prise de focus est-elle visible ?",oui,Parcours Tab réel et capture datée du lien d’évitement avec anneau visible.,CONFORME,captures/accessibilite-2026-07-21/02-focus-lien-evitement.png,,Codex,2026-07-21
10.8,"Pour chaque page web, les contenus cachés ont-ils vocation à être ignorés par les technologies d’assistance ?",oui,Contenus décoratifs explicitement cachés et contenus conditionnels retirés du DOM.,CONFORME,PlayerHUD.tsx ; KillFeed.tsx ; composants UI,,Codex,2026-07-21
10.9,"Dans chaque page web, l’information ne doit pas être donnée uniquement par la forme, taille ou position . Cette règle est-elle respectée ?",oui,"États des commandes exprimés par noms, texte et aria-pressed, pas seulement par position ou forme.",CONFORME,MatchViewer.tsx ; accessibility.spec.ts,,Codex,2026-07-21
10.10,"Dans chaque page web, l’information ne doit pas être donnée par la forme, taille ou position uniquement. Cette règle est-elle implémentée de façon pertinente ?",oui,Les commandes et états visuels disposent d’intitulés et d’attributs sémantiques pertinents.,CONFORME,MatchViewer.tsx ; accessibility.spec.ts,,Codex,2026-07-21
10.11,"Pour chaque page web, les contenus peuvent-ils être présentés sans perte d’information ou de fonctionnalité et sans avoir recours soit à un défilement vertical pour une fenêtre ayant une hauteur de 256 px, soit à un défilement horizontal pour une fenêtre ayant une largeur de 320 px (hors cas particuliers) ?",oui,"Scénario reflow exécuté à 640 px et 320 px, sans perte des commandes essentielles.",CONFORME,accessibility.spec.ts — scénario reflow ; REC-12,,Codex,2026-07-21
10.12,"Dans chaque page web, les propriétés d’espacement du texte peuvent-elles être redéfinies par l’utilisateur sans perte de contenu ou de fonctionnalité (hors cas particuliers) ?",oui,Espacements RGAA forcés à 320 px sans débordement horizontal ni perte de la commande essentielle.,CONFORME,accessibility.spec.ts — custom text spacing,,Codex,2026-07-21
10.13,"Dans chaque page web, les contenus additionnels apparaissant à la prise de focus ou au survol d’un composant d’interface sont-ils contrôlables par l’utilisateur (hors cas particuliers) ?",oui,Menus et dialogues sont fermables par Échap et gèrent le focus.,CONFORME,accessibility.spec.ts — erreurs et dialogues,,Codex,2026-07-21
10.14,"Dans chaque page web, les contenus additionnels apparaissant via les styles CSS uniquement peuvent-ils être rendus visibles au clavier et par tout dispositif de pointage ?",non,Inventaire du code source et du DOM exporté : Aucun contenu additionnel déclenché uniquement par CSS.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
11.1,Chaque champ de formulaire a-t-il une étiquette ?,oui,"Noms accessibles contrôlés pour fichier, timeline et sélection de joueur.",CONFORME,accessibility.spec.ts ; page.tsx ; Timeline.tsx,,Codex,2026-07-21
11.2,Chaque étiquette associée à un champ de formulaire est-elle pertinente (hors cas particuliers) ?,oui,Les étiquettes décrivent la donnée ou l’action attendue.,CONFORME,rapport axe ; scénarios par rôles,,Codex,2026-07-21
11.3,"Dans chaque formulaire, chaque étiquette associée à un champ de formulaire ayant la même fonction et répétée plusieurs fois dans une même page ou dans un ensemble de pages est-elle cohérente ?",oui,Les étiquettes répétées conservent le même intitulé dans les états testés.,CONFORME,accessibility.spec.ts,,Codex,2026-07-21
11.4,"Dans chaque formulaire, chaque étiquette de champ et son champ associé sont-ils accolés (hors cas particuliers) ?",oui,Inspection du DOM et ciblage par rôle/étiquette dans Playwright.,CONFORME,accessibility.spec.ts ; composants UI,,Codex,2026-07-21
11.5,"Dans chaque formulaire, les champs de même nature sont-ils regroupés, si nécessaire ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucune liste de choix de même nature nécessitant un regroupement dans le périmètre.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
11.6,"Dans chaque formulaire, chaque regroupement de champs de même nature a-t-il une légende ?",non,Inventaire du code source et du DOM exporté : Aucun regroupement de champs de même nature nécessitant fieldset/legend.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
11.7,"Dans chaque formulaire, chaque légende associée à un regroupement de champs de même nature est-elle pertinente ?",non,Inventaire du code source et du DOM exporté : Aucun regroupement de champs de même nature nécessitant fieldset/legend.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
11.8,"Dans chaque formulaire, les items de même nature d’une liste de choix sont-ils regroupés de manière pertinente ?",non,Inventaire du code source et du DOM exporté : Aucune liste de choix hiérarchique nécessitant des optgroup.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
11.9,"Dans chaque formulaire, l’intitulé de chaque bouton est-il pertinent (hors cas particuliers) ?",oui,Tous les boutons testés ont un intitulé accessible pertinent.,CONFORME,accessibility.spec.ts ; rapport axe,,Codex,2026-07-21
11.10,"Dans chaque formulaire, le contrôle de saisie est-il utilisé de manière pertinente (hors cas particuliers) ?",oui,Fichier invalide injecté ; erreur annoncée par role=alert.,CONFORME,accessibility.spec.ts — erreurs et dialogues,,Codex,2026-07-21
11.11,"Dans chaque formulaire, le contrôle de saisie est-il accompagné, si nécessaire, de suggestions facilitant la correction des erreurs de saisie ?",oui,Erreur de type de fichier fournit la suggestion .dem ou .dem.zst.,CONFORME,page.tsx ; accessibility.spec.ts,,Codex,2026-07-21
11.12,"Pour chaque formulaire qui modifie ou supprime des données, ou qui transmet des réponses à un test ou à un examen, ou dont la validation a des conséquences financières ou juridiques, les données saisies peuvent-elles être modifiées, mises à jour ou récupérées par l’utilisateur ?",oui,"Suppression soumise à confirmation, annulation testée et données conservées.",CONFORME,accessibility.spec.ts — dialogue Delete match,,Codex,2026-07-21
11.13,La finalité d’un champ de saisie peut-elle être déduite pour faciliter le remplissage automatique des champs avec les données de l’utilisateur ?,non,Inventaire du code source et du DOM exporté : Aucun champ demandant une donnée personnelle compatible autocomplete.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
12.1,"Chaque ensemble de pages dispose-t-il de deux systèmes de navigation différents, au moins (hors cas particuliers) ?",non,Inventaire du code source et du DOM exporté : Application monopage ; l’exigence de deux navigations pour un ensemble de pages ne s’applique pas.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
12.2,"Dans chaque ensemble de pages, le menu et les barres de navigation sont-ils toujours à la même place (hors cas particuliers) ?",non,Inventaire du code source et du DOM exporté : Application monopage ; aucune barre de navigation répétée sur un ensemble de pages.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
12.3,La page « plan du site » est-elle pertinente ?,non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Le site monopage ne propose ni plan du site ni collection de pages.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
12.4,"Dans chaque ensemble de pages, la page « plan du site » est-elle accessible à partir d’une fonctionnalité identique ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Le site monopage ne propose ni plan du site ni collection de pages.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
12.5,"Dans chaque ensemble de pages, le moteur de recherche est-il atteignable de manière identique ?",non,Inventaire du code source et du DOM exporté : Aucun moteur de recherche dans le périmètre applicatif.,NON APPLICABLE,desktop/src ; desktop/out ; scénarios Playwright,,Codex,2026-07-21
12.6,"Les zones de regroupement de contenus présentes dans plusieurs pages web (zones d’ en-tête, de navigation principale, de contenu principal, de pied de page et de moteur de recherche ) peuvent-elles être atteintes ou évitées ?",oui,"En-tête, navigation et contenu principal exposés ; lien d’évitement ajouté.",CONFORME,layout.tsx ; page.tsx ; MatchViewer.tsx,,Codex,2026-07-21
12.7,"Dans chaque page web, un lien d’évitement ou d’accès rapide à la zone de contenu principal est-il présent (hors cas particuliers) ?",oui,Premier focus : lien Skip to main content ; activation ciblant #main-content testée.,CONFORME,layout.tsx ; accessibility.spec.ts,,Codex,2026-07-21
12.8,"Dans chaque page web, l’ ordre de tabulation est-il cohérent ?",oui,"Parcours focus import, commandes et dialogues testé au clavier.",CONFORME,accessibility.spec.ts,,Codex,2026-07-21
12.9,"Dans chaque page web, la navigation ne doit pas contenir de piège au clavier. Cette règle est-elle respectée ?",oui,Échap ferme les dialogues et les commandes restent atteignables au clavier.,CONFORME,accessibility.spec.ts,,Codex,2026-07-21
12.10,"Dans chaque page web, les raccourcis clavier n’utilisant qu’une seule touche (lettre minuscule ou majuscule, ponctuation, chiffre ou symbole) sont-ils contrôlables par l’utilisateur ?",oui,Les raccourcis alphabétiques exigent désormais Alt ; aucune lettre seule ne déclenche une action.,CONFORME,MatchViewer.tsx ; test Alt+P/Alt+V,,Codex,2026-07-21
12.11,"Dans chaque page web, les contenus additionnels apparaissant au survol, à la prise de focus ou à l’activation d’un composant d’interface sont-ils si nécessaire atteignables au clavier ?",oui,Menus et dialogues additionnels atteignables et activables au clavier.,CONFORME,accessibility.spec.ts,,Codex,2026-07-21
13.1,"Pour chaque page web, l’utilisateur a-t-il le contrôle de chaque limite de temps modifiant le contenu (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucune limite de temps de session ou de saisie dans le périmètre.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
13.2,"Dans chaque page web, l’ouverture d’une nouvelle fenêtre ne doit pas être déclenchée sans action de l’utilisateur. Cette règle est-elle respectée ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucune ouverture automatique de nouvelle fenêtre dans le périmètre.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
13.3,"Dans chaque page web, chaque document bureautique en téléchargement possède-t-il, si nécessaire, une version accessible (hors cas particuliers) ?",non,"Inventaire du code source, du DOM exporté et des scénarios Playwright : Aucun document bureautique en téléchargement dans le périmètre.",NON APPLICABLE,desktop/src ; desktop/out ; desktop/tests-e2e/accessibility.spec.ts,,Codex,2026-07-21
